,Real Label,Predict Label
0,3,3
1,3,3
2,3,3
3,11,11
4,11,11
5,11,11
6,3,3
7,8,8
8,7,7
9,5,5
10,1,1
11,4,4
12,5,5
13,7,7
14,0,0
15,4,4
16,0,0
17,8,8
18,5,5
19,0,0
20,5,5
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,9,9
27,7,7
28,5,5
29,2,2
30,2,2
31,2,2
32,3,3
33,3,3
34,3,3
35,7,7
36,6,6
37,4,4
38,8,8
39,5,5
40,12,12
41,11,11
42,5,5
43,9,9
44,0,0
45,8,8
46,0,0
47,0,0
48,9,9
49,5,4
50,4,4
51,9,9
52,2,2
53,2,2
54,4,4
55,5,5
56,7,7
57,4,4
58,4,4
59,4,4
60,4,4
61,2,2
62,3,3
63,7,7
64,3,3
65,3,3
66,3,3
67,3,3
68,8,8
69,11,11
70,11,11
71,3,3
72,8,8
73,5,5
74,8,8
75,0,0
76,4,4
77,0,0
78,0,0
79,0,0
80,5,5
81,7,7
82,4,4
83,2,2
84,5,5
85,5,5
86,4,4
87,5,5
88,9,9
89,7,7
90,5,5
91,4,4
92,2,2
93,2,2
94,2,2
95,8,8
96,3,3
97,3,3
98,3,3
99,3,3
100,11,11
101,11,11
102,1,1
103,9,9
104,11,11
105,7,7
106,8,8
107,8,8
108,11,11
109,0,0
110,2,2
111,5,5
112,4,4
113,7,7
114,0,0
115,0,0
116,0,0
117,4,4
118,4,4
119,8,4
120,4,4
121,4,4
122,2,2
123,2,2
124,2,2
125,2,2
126,4,4
127,2,2
128,3,3
129,6,6
130,6,6
131,6,6
132,3,3
133,11,11
134,11,11
135,11,11
136,11,11
137,11,11
138,11,11
139,7,7
140,3,3
141,8,8
142,1,1
143,7,7
144,8,8
145,0,0
146,8,8
147,0,0
148,2,2
149,0,0
150,11,11
151,9,9
152,7,7
153,7,7
154,7,7
155,9,9
156,2,2
157,2,2
158,2,2
159,4,4
160,3,3
161,3,3
162,3,3
163,6,6
164,3,3
165,11,11
166,7,7
167,11,11
168,11,11
169,9,9
170,5,5
171,5,5
172,1,1
173,9,9
174,9,9
175,8,8
176,9,9
177,8,8
178,0,0
179,0,0
180,0,0
181,10,10
182,4,4
