,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9629,0.951,0.9565,0.9503,0.9736,0.9196
1,0.9862,0.9973,0.9917,0.9907,0.9978,0.9838
2,0.9524,0.9524,0.9524,0.9519,0.976,0.9075
3,0.9941,0.987,0.9905,0.9893,0.9931,0.9826
4,0.9819,0.9659,0.9738,0.9709,0.9819,0.952
5,0.9319,0.9548,0.9432,0.9361,0.9731,0.8947
6,0.8674,0.8922,0.8796,0.865,0.9379,0.7855
7,0.9974,0.9846,0.991,0.9907,0.9923,0.9825
8,0.9147,0.9752,0.944,0.9395,0.9837,0.894
9,0.9553,0.9064,0.9302,0.9223,0.9506,0.8761
10,0.9596,0.9447,0.9521,0.9463,0.9699,0.9125
11,0.99,0.9252,0.9565,0.9567,0.9626,0.9166
12,0.9866,0.9742,0.9804,0.978,0.9863,0.9641
13,1.0,0.9024,0.9487,0.9498,0.9512,0.9027
