,Real Label,Predict Label
0,3,3
1,9,9
2,11,11
3,7,7
4,7,7
5,11,11
6,11,11
7,8,8
8,7,7
9,5,5
10,5,5
11,8,8
12,2,2
13,8,8
14,8,8
15,8,8
16,8,8
17,0,0
18,0,0
19,0,0
20,11,11
21,9,9
22,7,7
23,9,9
24,4,4
25,5,5
26,4,4
27,2,2
28,5,5
29,2,2
30,2,2
31,2,2
32,3,3
33,11,11
34,9,9
35,9,7
36,9,9
37,9,9
38,7,7
39,9,9
40,11,11
41,11,11
42,0,0
43,8,8
44,5,5
45,0,0
46,0,0
47,9,9
48,9,9
49,4,4
50,4,4
51,5,8
52,3,3
53,5,5
54,5,4
55,9,9
56,4,8
57,2,2
58,2,2
59,4,4
60,2,2
61,2,2
62,2,2
63,4,4
64,3,3
65,3,3
66,3,3
67,3,3
68,6,6
69,4,4
70,11,11
71,11,11
72,6,6
73,8,8
74,11,11
75,9,8
76,1,1
77,5,5
78,8,8
79,8,8
80,8,8
81,0,0
82,8,8
83,5,5
84,4,4
85,9,9
86,5,5
87,11,11
88,2,2
89,2,2
90,4,4
91,2,2
92,2,2
93,11,11
94,8,8
95,3,3
96,6,6
97,11,11
98,11,11
99,11,11
100,6,6
101,5,5
102,3,3
103,11,11
104,2,2
105,7,7
106,8,8
107,12,12
108,5,5
109,9,9
110,7,7
111,0,0
112,5,5
113,0,0
114,0,0
115,5,5
116,9,9
117,4,4
118,10,10
119,7,7
120,5,5
121,4,4
122,5,5
123,2,2
124,4,4
125,2,2
126,2,2
127,5,5
128,3,3
129,3,3
130,4,4
131,11,11
132,4,4
133,9,9
134,11,11
135,5,5
136,7,7
137,5,5
138,7,7
139,5,5
140,9,9
141,8,8
142,11,11
143,5,5
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,7,5
150,9,9
151,10,10
152,5,5
153,5,5
154,8,8
155,2,2
156,4,4
157,2,2
158,3,3
159,3,3
160,3,3
161,3,3
162,3,3
163,11,11
164,11,11
165,4,4
166,5,5
167,7,7
168,8,8
169,3,3
170,3,3
171,3,7
172,5,8
173,5,5
174,8,8
175,3,3
176,0,0
177,0,0
178,0,0
179,9,9
180,4,4
181,8,8
182,4,4
183,8,8
184,7,7
185,4,4
186,5,5
187,5,4
188,9,9
189,4,2
190,2,2
191,2,2
192,6,6
193,3,3
194,3,3
195,3,3
196,6,6
197,11,11
198,11,11
199,11,11
200,9,9
201,5,5
202,7,7
203,0,0
204,8,8
205,8,8
206,8,8
207,4,4
208,2,2
209,0,0
210,5,5
211,10,10
212,9,9
213,9,9
214,2,2
215,9,9
216,7,7
217,2,2
218,2,2
219,2,2
220,2,2
221,2,2
222,3,4
223,3,3
224,3,3
225,3,3
226,3,3
227,3,3
228,6,6
229,11,11
230,11,11
231,11,11
232,11,11
233,11,11
234,11,11
235,11,11
236,7,7
237,4,9
238,1,1
239,5,5
240,11,11
241,8,8
242,9,9
243,8,8
244,0,0
245,8,8
246,7,7
247,0,0
248,0,0
249,4,4
250,2,2
251,5,5
252,5,5
253,7,7
254,7,7
255,5,5
256,3,3
257,3,3
258,3,3
259,11,11
260,8,8
261,11,11
262,7,7
