,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9649,0.9593,0.9618,0.953,0.9778,0.9294
1,0.9953,0.9953,0.9953,0.9948,0.9974,0.9912
2,0.9606,0.9683,0.9644,0.9641,0.9839,0.9304
3,0.9947,0.987,0.9908,0.9897,0.9931,0.9832
4,0.9681,0.9701,0.9691,0.9656,0.9832,0.9423
5,0.9604,0.9355,0.9478,0.9415,0.9654,0.9056
6,0.9194,0.8643,0.891,0.8789,0.9276,0.8092
7,0.9896,0.9769,0.9832,0.9828,0.9883,0.9674
8,0.9629,0.9522,0.9575,0.9539,0.9745,0.9207
9,0.8943,0.9576,0.9249,0.916,0.9719,0.861
10,0.9259,0.9697,0.9473,0.941,0.9801,0.9012
11,0.9815,0.9907,0.986,0.9859,0.9953,0.9724
12,0.9906,0.9769,0.9837,0.9817,0.9879,0.9703
13,1.0,0.9268,0.962,0.9626,0.9634,0.927
