,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9813,0.9774,0.9793,0.9711,0.9876,0.9614
1,0.998,0.994,0.996,0.9955,0.9969,0.9927
2,1.0,0.9778,0.9888,0.9887,0.9889,0.978
3,0.996,0.994,0.995,0.9944,0.9968,0.9907
4,0.9812,0.9916,0.9864,0.9848,0.9947,0.9738
5,0.9567,0.972,0.9643,0.9599,0.9833,0.933
6,0.9214,0.938,0.9296,0.9209,0.9641,0.8711
7,1.0,0.984,0.9919,0.9917,0.992,0.9844
8,0.9719,0.9886,0.9802,0.9785,0.9931,0.9617
9,0.9615,0.948,0.9547,0.9492,0.9717,0.9172
10,0.9701,0.972,0.971,0.9674,0.9841,0.946
11,1.0,0.9762,0.988,0.9879,0.9881,0.9764
12,1.0,0.97,0.9848,0.9831,0.985,0.9733
13,1.0,1.0,1.0,1.0,1.0,1.0
