,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.99,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.881,0.0,0.01,0.05,0.01,0.0,0.0,0.01,0.04,0.0,0.0,0.0
2,0.0,0.0,0.98,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.92,0.01,0.02,0.01,0.01,0.01,0.02,0.0,0.0,0.0
4,0.0,0.0,0.01,0.0,0.93,0.03,0.0,0.0,0.02,0.01,0.0,0.0,0.0
5,0.0,0.0,0.01,0.01,0.071,0.827,0.0,0.0,0.041,0.031,0.0,0.01,0.0
6,0.0,0.0,0.0,0.03,0.0,0.0,0.941,0.01,0.01,0.01,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.01,0.021,0.01,0.938,0.01,0.0,0.0,0.01,0.0
8,0.0,0.0,0.0,0.01,0.03,0.061,0.0,0.0,0.879,0.01,0.0,0.01,0.0
9,0.0,0.0,0.0,0.01,0.01,0.03,0.0,0.02,0.01,0.91,0.0,0.01,0.0
10,0.0,0.0,0.0,0.0,0.069,0.079,0.0,0.0,0.02,0.0,0.832,0.0,0.0
11,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.01,0.01,0.01,0.0,0.931,0.0
12,0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.737
