,Real Label,Predict Label
0,3,3
1,6,6
2,3,3
3,11,11
4,11,11
5,11,11
6,11,11
7,11,11
8,7,7
9,8,8
10,11,11
11,4,4
12,8,8
13,8,8
14,8,8
15,5,5
16,5,5
17,0,0
18,5,5
19,5,5
20,0,0
21,2,2
22,7,7
23,7,7
24,5,5
25,7,7
26,7,7
27,9,9
28,2,2
29,2,2
30,2,5
31,5,5
32,3,3
33,6,6
34,9,9
35,11,11
36,11,11
37,11,11
38,11,11
39,11,11
40,9,9
41,7,7
42,5,5
43,3,3
44,7,7
45,5,5
46,4,4
47,8,8
48,5,5
49,7,7
50,5,5
51,9,9
52,0,0
53,9,9
54,0,0
55,7,7
56,4,8
57,4,4
58,2,2
59,7,5
60,4,10
61,2,2
62,2,2
63,3,3
64,3,3
65,11,11
66,3,3
67,3,3
68,11,11
69,11,11
70,11,11
71,6,6
72,7,9
73,11,11
74,3,3
75,9,9
76,8,8
77,8,8
78,8,0
79,0,0
80,8,8
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,8,5
87,5,5
88,4,4
89,9,9
90,4,5
91,3,11
92,4,4
93,7,7
94,4,4
95,2,2
96,3,3
97,3,3
98,7,3
99,7,7
100,11,11
101,4,4
102,10,10
103,3,3
104,7,8
105,8,8
106,7,7
107,4,4
108,8,8
109,8,8
110,0,0
111,8,5
112,0,0
113,8,8
114,4,4
115,10,10
116,2,2
117,2,2
118,7,7
119,7,7
120,2,2
121,2,2
122,2,2
123,2,2
124,11,11
125,2,2
126,2,2
127,2,2
128,3,3
129,3,3
130,6,6
131,3,3
132,6,6
133,3,3
134,8,8
135,11,11
136,11,11
137,11,11
138,9,3
139,8,8
140,1,1
141,4,4
142,8,8
143,8,5
144,0,0
145,5,5
146,7,7
147,0,0
148,9,9
149,5,5
150,5,8
151,9,5
152,4,4
153,7,7
154,2,2
155,7,7
156,7,7
157,4,4
158,2,2
159,2,2
160,3,3
161,6,6
162,6,6
163,7,7
164,3,3
165,11,11
166,11,11
167,7,7
168,1,1
169,5,8
170,7,7
171,8,8
172,8,8
173,9,9
174,0,0
175,0,0
176,0,0
177,0,0
178,5,5
179,5,5
180,4,4
181,9,9
182,2,2
183,4,4
184,2,2
185,3,3
186,2,2
187,2,2
188,2,2
189,2,2
190,3,3
191,9,9
192,3,3
193,8,8
194,11,11
195,3,3
196,9,9
197,11,11
198,11,11
199,7,7
200,7,7
201,7,7
202,8,8
203,4,4
204,11,11
205,8,8
206,8,8
207,0,0
208,0,0
209,0,0
210,0,0
211,9,9
212,5,5
213,4,4
214,5,4
215,5,5
216,0,0
217,5,5
218,2,2
219,9,9
220,2,2
221,2,2
222,4,4
223,4,2
224,6,6
225,11,11
226,11,11
227,11,11
228,11,11
229,7,7
230,11,11
231,4,8
232,5,5
233,4,4
234,0,0
235,0,0
236,8,8
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,4,4
244,4,4
245,4,5
246,4,4
247,9,5
248,2,2
249,5,5
250,11,11
251,4,4
252,2,2
253,2,2
254,2,2
255,5,5
256,3,3
257,3,3
258,11,11
259,11,11
260,11,11
261,5,8
262,9,9
263,9,9
264,7,7
265,11,11
266,8,8
267,8,8
268,9,9
269,8,8
270,8,8
271,0,0
272,0,0
273,7,7
274,4,5
275,7,7
276,4,5
277,8,8
278,5,5
279,4,4
280,2,2
281,2,2
282,4,4
283,4,4
284,4,4
285,2,2
286,4,4
287,5,8
288,3,3
289,6,6
290,11,11
291,11,11
292,7,7
293,6,6
294,9,5
295,3,3
296,7,7
297,5,5
298,4,4
299,8,8
300,0,0
301,0,0
302,7,7
303,0,0
304,4,4
305,0,0
306,2,2
307,4,4
308,4,4
309,9,9
310,5,5
311,5,5
312,7,7
313,9,9
314,2,2
315,2,2
316,5,5
317,4,4
318,2,2
319,3,3
320,3,3
321,3,3
322,6,6
323,8,8
324,6,6
325,4,4
326,3,9
327,11,11
328,4,4
329,11,11
330,3,3
331,11,11
332,8,8
333,8,8
334,8,8
335,1,1
336,8,8
337,8,8
338,4,9
339,0,0
340,5,5
341,8,8
342,5,5
343,2,2
344,2,2
345,9,9
346,9,9
347,4,4
348,2,2
349,5,5
350,2,2
351,2,2
352,3,3
353,3,3
354,3,3
355,11,11
356,6,6
357,6,6
358,6,6
359,7,7
360,11,11
361,8,8
362,7,7
363,7,7
364,1,9
365,8,8
366,0,0
367,0,0
368,8,8
369,0,0
370,9,9
371,0,0
372,2,2
373,8,8
374,7,7
375,9,9
376,4,4
377,5,5
378,9,9
379,5,5
380,11,11
381,2,5
382,2,2
383,5,2
384,3,3
385,3,3
386,6,6
387,4,4
388,11,11
389,9,9
390,7,7
391,11,11
392,11,11
393,5,5
394,4,4
395,7,7
396,9,9
397,7,7
398,8,8
399,8,8
400,5,5
401,0,0
402,11,11
403,5,5
404,0,0
405,0,0
406,0,0
407,5,5
408,4,4
409,10,10
410,5,5
411,7,7
412,2,7
413,2,2
414,5,5
415,7,7
416,3,3
417,3,3
418,3,3
419,11,11
420,11,11
421,11,11
422,8,8
423,9,9
424,4,4
425,11,11
426,11,11
427,3,3
428,3,3
429,5,5
430,8,8
431,10,10
432,8,8
433,5,5
434,0,0
435,0,0
436,0,0
437,8,8
438,4,4
439,5,5
440,2,2
441,9,9
442,4,4
443,9,5
444,4,5
445,5,9
446,2,2
447,4,4
448,3,3
449,3,3
450,3,3
451,3,3
452,3,3
453,3,3
454,11,11
455,11,11
456,11,11
457,11,11
458,11,11
459,7,7
460,9,9
461,8,8
462,9,9
463,0,0
464,7,7
465,10,10
466,8,5
467,9,9
468,9,9
469,5,5
470,7,7
471,7,7
472,9,9
473,2,2
474,2,2
475,2,2
476,2,2
477,3,3
478,8,8
479,4,4
480,11,7
481,9,9
482,3,9
483,3,3
484,7,7
485,8,8
486,7,7
487,2,2
488,11,5
489,12,12
490,0,0
491,5,5
492,0,0
493,0,0
494,0,0
495,9,9
496,9,9
497,0,0
498,4,4
499,9,9
500,7,7
501,9,9
502,2,2
503,5,5
504,9,5
505,4,4
506,2,2
507,2,2
508,2,2
509,2,2
510,2,2
511,5,5
512,3,3
513,3,3
514,8,8
515,7,7
516,11,11
517,11,11
518,11,11
519,4,4
520,9,9
521,9,9
522,5,5
523,9,9
524,11,11
525,3,3
526,8,8
527,9,9
528,8,8
529,1,1
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,5,5
537,5,5
538,4,4
539,9,9
540,9,9
541,4,8
542,9,4
543,3,3
544,3,3
545,3,3
546,11,11
547,11,11
548,11,11
549,11,11
550,11,11
551,5,5
552,9,9
553,11,11
554,5,5
555,5,5
556,0,0
557,5,8
558,8,8
559,7,7
560,0,0
561,0,0
562,0,0
563,8,8
564,0,0
565,0,0
566,5,5
567,5,5
568,4,4
569,7,7
570,4,4
571,2,2
572,2,2
573,2,2
574,2,2
575,11,11
576,11,11
577,6,6
578,11,11
579,11,11
580,11,11
581,7,7
582,7,7
583,9,9
584,8,8
585,8,8
586,11,11
587,0,0
588,0,0
589,5,9
590,8,8
591,0,0
592,4,4
593,9,5
594,3,3
595,5,5
596,2,2
597,10,10
598,5,5
599,2,2
600,2,2
601,4,4
602,7,7
603,2,2
604,2,2
605,2,2
606,2,2
607,2,2
608,3,3
609,3,3
610,3,3
611,11,11
612,6,6
613,11,11
614,6,6
615,6,6
616,11,11
617,11,11
618,6,6
619,6,5
620,6,6
621,11,11
622,7,7
623,1,9
624,8,8
625,8,8
626,0,0
627,0,0
628,0,0
629,4,4
630,8,8
631,5,5
632,7,7
633,8,8
634,7,5
635,5,5
636,5,5
637,7,7
638,2,2
639,2,2
640,3,3
641,3,3
642,3,3
643,3,3
644,9,9
645,11,11
646,4,4
647,7,7
648,9,9
649,11,11
650,8,8
651,7,7
652,9,9
653,0,0
654,1,1
655,4,4
656,4,4
657,7,7
658,9,9
659,8,8
660,8,8
661,0,0
662,0,0
663,9,9
664,8,8
665,0,0
666,9,9
667,4,4
668,7,7
669,4,5
670,2,2
671,3,2
672,3,3
673,7,7
674,11,11
675,9,9
676,9,9
677,7,7
678,7,7
679,7,7
680,8,8
681,7,7
682,8,8
683,11,11
684,0,0
685,7,7
686,0,0
687,0,0
688,8,8
689,0,0
690,2,2
691,4,4
692,4,4
693,5,4
694,8,8
695,4,4
696,5,5
697,4,4
698,2,2
699,2,2
700,2,2
701,2,2
702,2,2
703,5,5
704,3,3
705,3,3
706,3,3
707,3,3
708,3,3
709,3,3
710,3,3
711,11,11
712,11,11
713,8,8
714,9,8
715,8,8
716,11,11
717,5,5
718,0,0
719,8,8
720,9,9
721,0,0
722,0,0
723,0,0
724,0,0
725,10,10
726,9,9
727,7,9
728,2,2
729,7,7
730,4,4
731,5,5
732,2,2
733,2,2
734,2,2
735,4,3
736,3,3
737,11,11
738,7,7
739,7,7
740,8,8
741,9,9
742,2,2
743,8,8
744,8,8
745,8,8
746,8,8
747,8,8
748,0,5
749,0,0
750,9,9
751,0,0
752,0,0
753,0,0
754,5,5
755,5,5
756,4,4
757,4,4
758,5,5
759,5,5
760,7,7
761,4,5
762,5,2
763,2,2
764,2,2
765,2,2
766,5,8
767,11,11
768,6,6
769,7,7
770,9,9
771,9,9
772,8,8
773,11,11
774,3,9
775,2,2
776,11,8
777,4,4
778,4,4
779,9,9
780,9,9
781,5,5
782,0,0
783,0,0
784,3,5
785,2,2
786,10,10
787,4,4
788,5,5
789,4,4
790,4,4
791,7,5
792,9,9
793,2,2
794,10,10
795,2,2
796,2,2
797,4,5
798,3,3
799,2,2
800,3,3
801,8,8
802,3,3
803,3,3
804,6,6
805,6,6
806,6,6
807,4,4
808,9,9
809,4,4
810,7,7
811,3,3
812,5,5
813,2,2
814,4,4
815,8,8
816,8,8
817,0,0
818,0,0
819,8,8
820,0,0
821,0,9
822,0,0
823,4,4
824,9,9
825,5,5
826,5,5
827,7,7
828,4,4
829,2,2
830,4,4
831,8,10
832,3,3
833,3,3
834,11,11
835,7,9
836,5,6
837,5,3
838,9,9
839,11,11
840,9,9
841,3,3
842,7,7
843,7,7
844,8,8
845,8,8
846,9,9
847,7,7
848,7,7
849,9,9
850,8,8
851,0,0
852,0,0
853,0,0
854,0,0
855,8,8
856,10,10
857,4,4
858,7,7
859,2,2
860,11,9
861,7,7
862,3,9
863,3,3
864,3,3
865,3,3
866,3,3
867,3,3
868,11,11
869,11,11
870,6,6
871,5,8
872,8,8
873,8,8
874,8,9
875,8,8
876,5,5
877,11,11
878,0,0
879,0,0
880,0,0
881,7,5
882,8,8
883,0,0
884,0,0
885,0,0
886,5,5
887,5,5
888,2,2
889,8,8
890,0,0
891,2,5
892,2,2
893,2,2
894,4,4
895,5,4
896,3,3
897,3,3
898,3,3
899,3,3
900,6,6
901,3,9
902,3,3
903,11,11
904,11,11
905,9,9
906,11,11
907,7,7
908,11,11
909,4,4
910,7,7
911,11,11
912,5,5
913,7,7
914,0,0
915,0,0
916,5,8
917,4,1
918,5,5
919,5,5
920,4,4
921,5,5
922,2,2
923,2,2
924,2,2
925,2,2
926,2,2
927,7,7
928,3,3
929,3,3
930,11,11
931,8,8
932,11,11
933,11,11
934,11,11
935,9,9
936,3,3
937,7,7
938,8,8
939,8,8
940,4,4
941,9,9
942,5,5
943,7,8
944,7,7
