,Real Label,Predict Label
0,3,3
1,3,3
2,3,3
3,9,9
4,5,5
5,11,11
6,9,9
7,11,11
8,11,11
9,5,5
10,4,4
11,7,7
12,11,11
13,5,5
14,8,4
15,0,0
16,0,0
17,9,9
18,5,5
19,9,9
20,9,9
21,9,9
22,4,4
23,2,2
24,4,4
25,9,9
26,4,4
27,2,5
28,5,5
29,4,4
30,4,9
31,8,5
32,3,3
33,3,3
34,3,3
35,3,3
36,4,4
37,3,3
38,11,11
39,11,11
40,11,11
41,9,9
42,8,8
43,2,2
44,8,8
45,9,9
46,8,8
47,11,11
48,0,0
49,0,0
50,7,5
51,4,4
52,4,4
53,9,9
54,9,9
55,4,4
56,7,7
57,2,2
58,2,2
59,2,2
60,2,2
61,2,2
62,4,4
63,3,3
64,3,3
65,3,3
66,3,3
67,11,11
68,11,11
69,11,11
70,11,11
71,3,3
72,5,5
73,9,9
74,8,8
75,7,7
76,9,9
77,5,5
78,4,4
79,5,5
80,9,9
81,0,0
82,0,0
83,11,11
84,0,0
85,5,5
86,8,8
87,4,4
88,4,4
89,7,7
90,4,4
91,4,4
92,2,2
93,2,5
94,4,4
95,2,2
96,3,3
97,11,11
98,3,3
99,6,6
100,11,11
101,11,11
102,11,11
103,9,9
104,7,7
105,9,9
106,8,8
107,7,7
108,8,8
109,2,2
110,9,9
111,5,5
112,11,11
113,9,9
114,9,9
115,5,5
116,9,9
117,4,4
118,4,4
119,2,2
120,2,2
121,5,5
122,5,5
123,4,4
124,2,2
125,4,4
126,3,3
127,4,4
128,3,3
129,3,3
130,11,11
131,11,11
132,11,11
133,11,11
134,7,7
135,5,5
136,0,0
137,7,7
138,8,8
139,7,7
140,9,9
141,5,5
142,8,8
143,8,8
144,7,9
145,0,0
146,0,0
147,0,0
148,4,4
149,9,5
150,4,4
151,7,7
152,9,9
153,10,10
154,5,5
155,2,2
156,7,7
157,4,4
158,2,2
159,2,2
160,3,3
161,11,11
162,3,3
163,11,11
164,11,11
165,11,11
166,9,9
167,8,8
168,7,7
169,7,7
170,1,1
171,9,9
172,5,5
173,2,2
174,4,4
175,8,8
176,0,0
177,5,5
178,8,8
179,5,5
180,0,0
181,11,11
182,9,9
