,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9703,0.9589,0.9643,0.9573,0.9778,0.9338
1,0.9927,0.9953,0.994,0.9933,0.9972,0.9886
2,0.984,0.9762,0.9801,0.9799,0.988,0.9608
3,0.9921,0.9843,0.9882,0.9867,0.9917,0.9783
4,0.9752,0.9794,0.9773,0.9747,0.9883,0.9573
5,0.94,0.9588,0.9493,0.943,0.9756,0.9058
6,0.8893,0.899,0.8942,0.8814,0.9428,0.8104
7,0.9948,0.9872,0.991,0.9907,0.9935,0.9824
8,0.9722,0.9624,0.9672,0.9644,0.98,0.9386
9,0.9349,0.9387,0.9368,0.9291,0.9654,0.8843
10,0.9593,0.9548,0.9571,0.9519,0.9749,0.9209
11,0.99,0.9252,0.9565,0.9567,0.9626,0.9166
12,0.9886,0.9769,0.9827,0.9806,0.9877,0.9683
13,1.0,0.9268,0.962,0.9626,0.9634,0.927
