,Real Label,Predict Label
0,3,3
1,8,8
2,11,11
3,9,9
4,5,5
5,7,7
6,7,7
7,1,1
8,9,9
9,11,11
10,8,8
11,11,11
12,5,5
13,8,8
14,0,0
15,0,0
16,11,11
17,8,8
18,5,5
19,10,10
20,5,5
21,4,4
22,9,9
23,4,4
24,5,5
25,4,4
26,2,2
27,2,8
28,9,9
29,2,2
30,2,2
31,2,2
32,3,3
33,3,3
34,6,6
35,6,6
36,5,5
37,11,11
38,11,11
39,3,3
40,9,9
41,5,5
42,8,8
43,8,8
44,9,9
45,8,8
46,0,0
47,0,0
48,5,5
49,4,4
50,5,5
51,4,4
52,5,5
53,5,5
54,7,7
55,5,5
56,4,4
57,4,4
58,7,7
59,7,7
60,2,2
61,2,2
62,2,2
63,4,4
64,6,6
65,3,3
66,3,3
67,8,8
68,11,11
69,11,11
70,11,11
71,6,6
72,11,11
73,6,6
74,5,5
75,9,9
76,8,8
77,7,7
78,8,8
79,8,8
80,8,8
81,8,8
82,7,7
83,0,0
84,10,10
85,5,5
86,4,4
87,7,7
88,11,11
89,9,9
90,2,2
91,2,2
92,2,2
93,2,2
94,9,9
95,4,4
96,3,3
97,3,3
98,6,6
99,6,6
100,11,11
101,4,4
102,9,9
103,9,9
104,11,11
105,7,7
106,1,1
107,5,5
108,5,5
109,8,8
110,11,9
111,7,9
112,0,0
113,8,8
114,8,8
115,0,0
116,0,0
117,0,0
118,11,11
119,0,0
120,0,0
121,5,5
122,5,5
123,5,5
124,4,4
125,2,2
126,5,5
127,4,4
128,3,3
129,3,3
130,11,11
131,9,9
132,6,6
133,9,9
134,11,11
135,6,6
136,7,7
137,7,7
138,5,5
139,8,8
140,8,8
141,9,9
142,0,0
143,0,0
144,9,9
145,0,0
146,0,0
147,4,4
148,4,4
149,9,9
150,5,7
151,5,5
152,9,9
153,2,2
154,2,2
155,5,5
156,2,2
157,9,9
158,2,2
159,4,4
160,3,3
161,3,3
162,3,3
163,3,3
164,6,6
165,11,11
166,9,9
167,9,9
168,9,9
169,3,3
170,8,8
171,4,4
172,8,8
173,4,4
174,9,9
175,0,0
176,0,0
177,0,0
178,7,7
179,10,10
180,2,2
181,5,5
182,5,5
183,0,0
184,8,5
185,5,5
186,4,4
187,2,2
188,2,2
189,2,2
190,4,4
191,3,5
192,3,3
193,3,3
194,6,6
195,3,3
196,3,3
197,6,6
198,6,6
199,8,8
200,5,5
201,8,8
202,5,5
203,9,9
204,3,3
205,2,2
206,11,11
207,5,5
208,8,8
209,4,4
210,0,0
211,0,0
212,0,0
213,4,4
214,11,11
215,0,0
216,4,4
217,9,9
218,4,4
219,4,4
220,5,5
221,9,9
222,2,2
223,3,3
224,3,3
225,11,11
226,11,11
227,5,5
228,4,4
229,9,9
230,6,6
231,11,11
232,5,5
233,7,7
234,11,11
235,11,11
236,5,5
237,7,7
238,11,11
239,8,8
240,12,12
241,8,8
242,0,0
243,5,5
244,7,7
245,0,0
246,0,0
247,0,0
248,0,0
249,8,8
250,7,7
251,5,5
252,7,7
253,5,5
254,5,5
255,8,5
256,3,3
257,3,3
258,6,6
259,6,6
260,4,4
261,4,4
262,9,9
263,9,9
264,8,8
265,5,5
266,8,8
267,8,8
268,8,8
269,11,11
270,8,8
271,2,2
272,8,8
273,9,9
274,0,0
275,0,0
276,5,5
277,2,2
278,10,10
279,5,8
280,0,0
281,9,9
282,2,2
283,4,4
284,9,9
285,5,5
286,2,2
287,3,3
288,3,3
289,3,3
290,3,3
291,3,3
292,3,3
293,11,11
294,6,6
295,9,9
296,9,9
297,7,7
298,7,7
299,7,7
300,4,4
301,0,0
302,8,8
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,8,8
310,4,4
311,4,4
312,2,2
313,4,4
314,5,5
315,5,5
316,2,2
317,2,2
318,4,4
319,2,2
320,3,3
321,3,3
322,11,11
323,3,3
324,11,11
325,11,11
326,7,7
327,5,5
328,7,7
329,8,8
330,5,5
331,0,0
332,2,2
