,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9296,0.9277,0.928,0.9218,0.9608,0.8717
1,0.9949,0.985,0.9899,0.9891,0.9923,0.9812
2,0.9799,0.975,0.9774,0.9756,0.9867,0.9573
3,0.9703,0.98,0.9751,0.9731,0.9887,0.9524
4,0.9548,0.95,0.9524,0.9484,0.9731,0.9109
5,0.8808,0.85,0.8651,0.8543,0.9202,0.7602
6,0.7217,0.83,0.7721,0.7538,0.9017,0.6121
7,0.99,1.0,0.995,0.9946,0.9996,0.99
8,0.985,0.985,0.985,0.9837,0.9919,0.9714
9,0.8763,0.815,0.8446,0.8327,0.9027,0.7285
10,0.913,0.84,0.875,0.8659,0.9167,0.7793
11,0.9482,0.915,0.9313,0.9259,0.9554,0.8741
12,0.9453,0.95,0.9476,0.9433,0.9727,0.9019
13,0.9249,0.985,0.954,0.9506,0.9892,0.9122
