,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9687,0.9525,0.96,0.9575,0.9746,0.926
1,0.996,0.9973,0.9967,0.9963,0.9984,0.9936
2,0.9817,0.8492,0.9106,0.9123,0.9245,0.835
3,0.9838,0.9928,0.9883,0.9868,0.9954,0.9776
4,0.973,0.9744,0.9737,0.9707,0.9857,0.9508
5,0.9507,0.9355,0.943,0.9361,0.9647,0.8965
6,0.9026,0.8977,0.9001,0.8882,0.943,0.8212
7,0.9847,0.9923,0.9885,0.9882,0.9959,0.9774
8,0.966,0.9642,0.9651,0.962,0.9806,0.9342
9,0.9298,0.936,0.9329,0.9247,0.9637,0.8772
10,0.9623,0.9811,0.9716,0.9682,0.9882,0.9462
11,0.9813,0.9813,0.9813,0.9812,0.9906,0.9631
12,0.9814,0.9782,0.9798,0.9773,0.9879,0.9625
13,1.0,0.9024,0.9487,0.9498,0.9512,0.9027
