,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9531,0.9522,0.9524,0.9414,0.9738,0.9128
1,0.9993,0.99,0.9946,0.994,0.995,0.9904
2,1.0,0.9762,0.988,0.9879,0.9881,0.9764
3,0.989,0.9948,0.9919,0.9908,0.9967,0.9844
4,0.966,0.9496,0.9577,0.953,0.9729,0.9225
5,0.9277,0.9474,0.9375,0.9297,0.9691,0.8847
6,0.8437,0.8724,0.8578,0.8405,0.9265,0.7498
7,0.9673,0.9872,0.9772,0.9765,0.9931,0.9553
8,0.9679,0.9412,0.9544,0.9506,0.9693,0.9157
9,0.8887,0.9414,0.9143,0.904,0.9635,0.8431
10,0.9696,0.9042,0.9358,0.929,0.9504,0.8872
11,0.9906,0.9813,0.9859,0.9858,0.9906,0.9722
12,0.976,0.9657,0.9708,0.9672,0.9813,0.9463
13,0.9048,0.9268,0.9157,0.9155,0.9633,0.8388
