,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9794,0.9729,0.9759,0.9672,0.9852,0.9554
1,1.0,0.984,0.9919,0.991,0.992,0.9858
2,1.0,0.9778,0.9888,0.9887,0.9889,0.978
3,1.0,0.988,0.994,0.9932,0.994,0.9893
4,0.9851,0.9747,0.9799,0.9776,0.9865,0.9629
5,0.9599,0.958,0.959,0.9539,0.9765,0.9242
6,0.8841,0.9479,0.9149,0.9047,0.9663,0.8438
7,1.0,0.984,0.9919,0.9917,0.992,0.9844
8,0.9771,0.9743,0.9757,0.9737,0.9862,0.9539
9,0.9671,0.94,0.9533,0.9478,0.968,0.9157
10,0.9647,0.984,0.9743,0.9711,0.9898,0.951
11,1.0,0.9524,0.9756,0.9757,0.9762,0.9528
12,0.9939,0.982,0.9879,0.9865,0.9906,0.978
13,1.0,1.0,1.0,1.0,1.0,1.0
